Open,High,Low,Close,Volume,Dividends,Stock Splits
0.055949098990856476,0.06417698188577935,0.055949098990856476,0.061433933675289154,1031788800,0.0,0.0
0.061433906196009254,0.06472543640264695,0.061433906196009254,0.06362783908843994,308160000,0.0,0.0
0.0636278682552176,0.06527394954708982,0.0636278682552176,0.06472546607255936,133171200,0.0,0.0
0.06472546065300201,0.06527394408160715,0.06253089607035345,0.06307937949895859,67766400,0.0,0.0
0.0630793711527082,0.0636278545087416,0.061433921084608004,0.0619824044406414,47894400,0.0,0.0
0.061982435589001364,0.061982435589001364,0.05978850106233829,0.06033698469400406,58435200,0.0,0.0
0.06033695926966189,0.06143392607076166,0.05759454226691246,0.05869150906801224,59990400,0.0,0.0
0.0586915212377589,0.0586915212377589,0.0564975871806449,0.0570460706949234,65289600,0.0,0.0
0.057046074918182164,0.05814304202795029,0.0564975913632981,0.05814304202795029,32083200,0.0,0.0
0.058143015583601965,0.06033694880530324,0.057594532278176645,0.05978846549987793,22752000,0.0,0.0
0.05978846282063096,0.06088542938232422,0.05978846282063096,0.06088542938232422,16848000,0.0,0.0
0.06088546832566982,0.06088546832566982,0.05924001743067252,0.06033698469400406,12873600,0.0,0.0
0.06033694880530324,0.06033694880530324,0.05978846549987792,0.05978846549987793,11088000,0.0,0.0
0.05978850106233829,0.06143395195733559,0.05978850106233829,0.06033698469400406,27014400,0.0,0.0
0.06088542938232422,0.0625308792248641,0.06088542938232422,0.06088542938232422,23040000,0.0,0.0
0.06088542938232422,0.061433912663170845,0.06088542938232422,0.06088542938232422,26582400,0.0,0.0
0.06088543211072857,0.06143391541615389,0.058691498889027284,0.05978846549987793,16560000,0.0,0.0
0.05978850106233829,0.06143395195733559,0.05978850106233829,0.06033698469400406,10252800,0.0,0.0
0.06033696673840262,0.06198241714373243,0.06033696673840262,0.061433933675289154,12153600,0.0,0.0
0.061433921084608004,0.0625308877966748,0.060336954372541204,0.0619824044406414,13881600,0.0,0.0
0.06253089607035345,0.06417697722439689,0.06253089607035345,0.06307937949895859,17222400,0.0,0.0
0.06307935586533227,0.06417695317953928,0.06307935586533227,0.06362783908843994,12153600,0.0,0.0
0.06362783908843994,0.06362783908843994,0.061433906196009254,0.06362783908843994,9302400,0.0,0.0
0.06362785808867284,0.06637090589131808,0.06307937470177981,0.06582242250442505,31910400,0.0,0.0
0.0658224136816924,0.0663708969950676,0.0658224136816924,0.0663708969950676,22003200,0.0,0.0
0.06637090267130763,0.06637090267130763,0.06362785500174242,0.06417696923017502,21628800,0.0,0.0
0.06417696923017502,0.06472545259045817,0.06253088828117612,0.06417696923017502,22924800,0.0,0.0
0.06417697722439689,0.06417697722439689,0.06307937949895859,0.06307937949895859,15552000,0.0,0.0
0.0630793588472954,0.06362784209633164,0.06253087559825918,0.06335359811782837,15609600,0.0,0.0
0.0633535912861415,0.07075874757160779,0.06307935204518092,0.06966178119182587,62352000,0.0,0.0
0.07021028547257094,0.07706696062786067,0.07021028547257094,0.07405029982328415,85795200,0.0,0.0
0.0740502762328447,0.0751472425926863,0.0735011621849819,0.0745987594127655,28886400,0.0,0.0
0.0745988003946654,0.0745988003946654,0.07185575212018724,0.07240423560142517,30326400,0.0,0.0
0.07240422508122747,0.07295270848277179,0.0691133246719616,0.07075877487659454,30902400,0.0,0.0
0.07075874757160779,0.07075874757160779,0.06856481481204395,0.06966178119182587,54345600,0.0,0.0
0.06966178119182587,0.07075874757160779,0.06911329800193491,0.06966178119182587,20246400,0.0,0.0
0.06966181248923675,0.06966181248923675,0.06911332905292511,0.06911332905292511,3254400,0.0,0.0
0.06966178119182587,0.07075874757160779,0.06966178119182587,0.06966178119182587,9734400,0.0,0.0
0.06966178119182587,0.07021026438171682,0.06856481481204395,0.06966178119182587,5155200,0.0,0.0
0.06966177995291266,0.07021026313304901,0.0691132967727763,0.07021026313304901,3542400,0.0,0.0
0.07021026438171682,0.07021026438171682,0.06966178119182587,0.06966178119182587,6076800,0.0,0.0
0.06966177995291266,0.07185571267345807,0.06966177995291266,0.07021026313304901,10483200,0.0,0.0
0.07021029147505023,0.07130725827813886,0.07021029147505023,0.07075877487659454,3830400,0.0,0.0
0.07075874631318536,0.07075874631318536,0.07021026313304901,0.07021026313304901,9302400,0.0,0.0
0.07021026313304901,0.07130722949332172,0.07021026313304901,0.07021026313304901,3801600,0.0,0.0
0.07021029147505023,0.07240422508122747,0.07021029147505023,0.07075877487659454,11952000,0.0,0.0
0.07075874757160779,0.07075874757160779,0.06911329800193491,0.06966178119182587,11001600,0.0,0.0
0.06966181248923675,0.06966181248923675,0.06856484561661347,0.06911332905292511,61977600,0.0,0.0
0.06911327152538004,0.06966175450515304,0.06801630556583405,0.06801630556583405,8092800,0.0,0.0
0.06801630556583405,0.06856478854560705,0.06801630556583405,0.06801630556583405,4406400,0.0,0.0
0.06801630556583405,0.06911327152538004,0.06801630556583405,0.06801630556583405,4089600,0.0,0.0
0.06801633041250359,0.07021026313304901,0.06801633041250359,0.07021026313304901,13881600,0.0,0.0
0.07021030167647349,0.07240423560142517,0.07021030167647349,0.07240423560142517,15523200,0.0,0.0
0.07240421889118251,0.07514726653258993,0.07185573553652962,0.07405029982328415,45676800,0.0,0.0
0.07459874736181014,0.07788964590971115,0.07459874736181014,0.07679267972707748,27072000,0.0,0.0
0.07679269213244873,0.07679269213244873,0.0745987594127655,0.0745987594127655,19728000,0.0,0.0
0.0745987594127655,0.0745987594127655,0.0735011621849819,0.0745987594127655,5011200,0.0,0.0
